share,change,dollarAmount,insiderPortfolioChange,zeroDay,oneDay,sevenDay,fourteenDay,thirtyDay
86087,-135925,-17055189.375,-0.6122416806298758,124.58999633789062,1,1,1,0
222012,135925,5219520.0,1.578925970239409,124.58999633789062,1,1,1,0
49782,-14500,-1812500.0,-0.2255685884073302,125.69000244140625,0,0,1,0
64282,10000,384000.0,0.18422313105633542,125.69000244140625,0,0,1,0
54282,4500,211500.0,0.0903941183560323,125.69000244140625,0,0,1,0
22926,-8000,-1000000.0,-0.2586820151328979,125.69000244140625,0,0,1,0
30926,8000,607200.0,0.34894879176480853,125.69000244140625,0,0,1,0
22926,-8000,-980000.0,-0.2586820151328979,122.12000274658203,0,1,1,1
30926,8000,607200.0,0.34894879176480853,122.12000274658203,0,1,1,1
39691,-17600,-2117881.92,-0.307203574732506,120.5199966430664,1,1,1,1
57291,17600,892672.0,0.4434254616915674,120.5199966430664,1,1,1,1
97553,-1768,-188999.2,-0.017800867892993424,109.19999694824219,1,1,1,1
49782,-1768,-188999.2,-0.03429679922405432,109.19999694824219,1,1,1,1
59783,-85043,-10195626.6797,-0.5872080979934542,120.08000183105469,0,0,0,0
144826,68000,4075920.0,0.8851170176763075,120.08000183105469,0,0,0,0
76826,17043,756709.2,0.28508104310589966,120.08000183105469,0,0,0,0
59783,-9533,-1144112.5280000002,-0.13752957470136765,120.08000183105469,0,0,0,0
22926,-8600,-1049200.0,-0.27279071242783737,121.69999694824219,0,0,0,0
31526,8600,652740.0,0.3751199511471692,121.69999694824219,0,0,0,0
51083,-9439,-1151558.0,-0.15595981626515978,121.69999694824219,0,0,0,0
46121,-1223,-146564.32,-0.025832206826630618,118.94000244140625,1,1,1,0
51550,-6200,-755098.0,-0.10735930735930736,119.18000030517578,0,0,1,1
124680,-365,-43128.473,-0.0029189491782958136,122.20999908447266,1,0,0,1
14045,-1052,-126881.72,-0.06968271842087832,122.20999908447266,1,0,0,1
99321,-352,-42454.72,-0.0035315481624913466,122.20999908447266,1,0,0,1
57750,-587,-70798.06999999999,-0.010062224660164218,122.20999908447266,1,0,0,1
43550,-1002,-120851.22,-0.022490572813790626,122.20999908447266,1,0,0,1
69316,-1391,-167768.51,-0.019672733958448246,122.20999908447266,1,0,0,1
60522,-1113,-134238.93,-0.01805792163543441,122.20999908447266,1,0,0,1
107430,-1664,-200695.04,-0.015252901167800245,122.20999908447266,1,0,0,1
82375,-943,-113735.23,-0.011318082527185002,122.20999908447266,1,0,0,1
50461,-1034,-124710.74,-0.02007961938052238,122.20999908447266,1,0,0,1
39691,-1475,-177899.75,-0.03583053976582617,122.20999908447266,1,0,0,1
24876,-704,-85592.31999999999,-0.027521501172791243,119.77999877929688,1,0,0,1
15097,-2282,-277445.56,-0.1313079003394902,119.77999877929688,1,0,0,1
73590,-2116,-257263.28,-0.027950228515573404,119.77999877929688,1,0,0,1
99673,-4736,-575802.88,-0.04536007432309475,119.77999877929688,1,0,0,1
58337,-5000,-607900.0,-0.07894279804853403,119.77999877929688,1,0,0,1
47344,-4846,-589176.6799999999,-0.09285303698026443,119.77999877929688,1,0,0,1
22926,-3910,-475377.8,-0.14569980623043674,119.77999877929688,1,0,0,1
32063,-5612,-682306.96,-0.14895819508958194,119.77999877929688,1,0,0,1
44552,-7060,-858354.7999999999,-0.1367898938231419,119.77999877929688,1,0,0,1
62571,-6246,-759388.6799999999,-0.09076245695104407,119.77999877929688,1,0,0,1
55733,-5974,-726318.92,-0.09681235516229925,119.77999877929688,1,0,0,1
70707,-9433,-1146864.14,-0.11770651360119791,119.77999877929688,1,0,0,1
86076,-5065,-615802.7,-0.05557323268342458,119.77999877929688,1,0,0,1
61635,-7999,-972518.42,-0.11487204526524399,119.77999877929688,1,0,0,1
109094,-12596,-1531421.68,-0.10350891609828253,119.77999877929688,1,0,0,1
156818,-22865,-2779926.7,-0.1272518824819265,119.77999877929688,1,0,0,1
158038,-10913,-1326802.54,-0.06459269255582979,119.77999877929688,1,0,0,1
189350,-10136,-1232334.88,-0.05081058319882097,119.77999877929688,1,0,0,1
83318,-2621,-318661.18,-0.03049837675560572,119.77999877929688,1,0,0,1
321398,-9267,-1126681.8599999999,-0.028025342869671722,119.77999877929688,1,0,0,1
3105195,-43292,-5263441.36,-0.013750096474910012,119.77999877929688,1,0,0,1
51495,-4135,-502733.3,-0.07433039726766133,119.77999877929688,1,0,0,1
41166,-4000,-486320.0,-0.08856219279989372,119.77999877929688,1,0,0,1
7296,2040,249900.0,0.3881278538812785,120.80000305175781,1,0,0,0
86965,-400,-47722.68,-0.004578492531334058,122.55000305175781,0,0,0,0
25580,-937,-115288.48000000001,-0.03533582230267376,122.55000305175781,0,0,0,0
75706,-400,-48734.0,-0.005255827398628229,122.55000305175781,0,0,0,0
76106,-780,-95971.20000000001,-0.010144889836901386,122.55000305175781,0,0,0,0
21520,-943,-120920.88999999998,-0.04198014512754307,128.02000427246094,0,0,0,0
63373,-505,-64887.450000000004,-0.007905695231535113,128.02000427246094,0,0,0,0
63878,-1009,-129384.06999999999,-0.015550110191563795,128.02000427246094,0,0,0,0
17064,-857,-109893.10999999999,-0.04782099213213548,128.02000427246094,0,0,0,0
59681,-3130,-385083.9,-0.04983203578990941,120.23999786376953,0,1,1,0
175301,-18241,-2235252.14,-0.09424827685980304,120.23999786376953,0,1,1,0
193542,31325,1225434.0,0.19310553147943804,120.23999786376953,0,1,1,0
39706,-45000,-5545800.0,-0.5312492621538025,122.54000091552734,0,1,1,0
84706,15000,576000.0,0.21518951022867472,122.54000091552734,0,1,1,0
69706,30000,1441200.0,0.7555533168790611,122.54000091552734,0,1,1,0
62811,-18750,-2302256.25,-0.2298892853201898,122.54000091552734,0,1,1,0
81561,18750,720000.0,0.2985145913932273,122.54000091552734,0,1,1,0
151896,-2050,-254257.40000000002,-0.013316357683863174,122.54000091552734,0,1,1,0
153946,-201343,-24859014.838,-0.5667020369333134,122.54000091552734,0,1,1,0
355289,95600,3671040.0,0.36813265097867065,122.54000091552734,0,1,1,0
259689,107793,4216862.16,0.7096500237004266,122.54000091552734,0,1,1,0
49284,-20000,-2344600.0,-0.28866693608914035,117.56999969482422,0,0,1,1
69284,-6844,-788634.12,-0.08990121899957966,116.52999877929688,1,1,0,1
76128,-25000,-2902750.0,-0.24721145478996914,116.52999877929688,1,1,0,1
101128,-20000,-2342000.0,-0.16511458952513045,116.52999877929688,1,1,0,1
51047,-5057,-606840.0,-0.09013617567374875,119.36000061035156,1,0,0,0
11595,-7080,-849600.0,-0.3791164658634538,119.36000061035156,1,0,0,0
18675,7080,809668.8,0.610608020698577,119.36000061035156,1,0,0,0
11595,-6000,-720000.0,-0.3410059676044331,119.36000061035156,1,0,0,0
30121,1681,194928.75999999998,0.05910689170182841,115.75,1,1,0,0
59704,-448,-47331.200000000004,-0.007447798909429445,106.69999694824219,0,1,0,1
60152,-810,-87812.09999999999,-0.013286965650733243,107.8499984741211,0,1,0,0
546710,170113,9332399.18,0.451710980172439,107.8499984741211,0,1,0,0
0,-19514,-2119044.7739999997,-1.0,108.41000366210938,0,0,0,0
17595,-4221,-458438.589,-0.19348184818481848,108.41000366210938,0,0,0,0
21816,-4219,-458204.495,-0.1620510850777799,108.41000366210938,0,0,0,0
50969,-13773,-1495582.524,-0.2127367087825523,108.41000366210938,0,0,0,0
376597,-631,-68984.075,-0.001672728429490918,108.41000366210938,0,0,0,0
377228,-169482,-18407270.538,-0.3100034753342723,108.41000366210938,0,0,0,0
32751,-200,-21056.0,-0.006069618524475737,107.05999755859375,0,0,1,0
32951,-19995,-2093676.45,-0.3776489253201375,107.05999755859375,0,0,1,0
52946,5192,410271.83999999997,0.10872387653390292,107.05999755859375,0,0,1,0
47754,15003,1402780.5,0.4580928826600714,107.05999755859375,0,0,1,0
153390,-28,-9856.0,-0.00018250791954008003,343.5,0,0,0,1
153418,-400,-138772.0,-0.002600475887087337,343.5,0,0,0,1
153418,-918,-317664.72000000003,-0.0059480613725896745,343.5,0,0,0,1
154736,-800,-276040.0,-0.005143503754757741,343.5,0,0,0,1
155536,-1304,-448445.6,-0.008314205559806172,343.5,0,0,0,1
156840,-300,-102795.0,-0.0019091256204658267,343.5,0,0,0,1
157142,-894,-316270.38,-0.005656938925308158,351.739990234375,0,0,0,1
158036,-1100,-388234.0,-0.00691232656344259,351.739990234375,0,0,0,1
159136,-926,-325961.26,-0.005785258212442679,351.739990234375,0,0,0,1
160062,-100,-35076.0,-0.0006243678275745807,351.739990234375,0,0,0,1
160162,-100,-34986.0,-0.0006239782356391409,351.739990234375,0,0,0,1
160262,-100,-34846.0,-0.0006235891295942929,351.739990234375,0,0,0,1
160362,-228,-79307.51999999999,-0.001419764617971231,351.739990234375,0,0,0,1
160590,-300,-104058.0,-0.001864628006712661,351.739990234375,0,0,0,1
